City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Chapais,CA,78.51,clear sky,49.7834,-74.8492,Hôtel Opémiska
3,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Hobyo,SO,77.13,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
12,Bengkulu,ID,75.31,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
15,Itabira,BR,82.27,overcast clouds,-19.6192,-43.2269,Premium Executive Hotel
16,Delfzijl,NL,76.01,broken clouds,53.33,6.9181,Eemshotel
21,Kapaa,US,80.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
22,Broome,US,79.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
24,Salinas,US,81.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
29,Kencong,ID,75.0,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
30,Port-De-Bouc,FR,88.75,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
33,Northam,GB,76.24,clear sky,51.0333,-4.2167,Durrant House Hotel
34,Hilo,US,88.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
39,Kutum,SD,76.84,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
43,Caravelas,BR,76.87,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
45,Nishihara,JP,83.48,haze,26.1842,127.7558,Minshuku Agaihama
46,Biograd Na Moru,HR,81.75,clear sky,43.9433,15.4519,Villa Maimare
49,Hithadhoo,MV,82.22,scattered clouds,-0.6,73.0833,Scoop Guest House
50,Kavaratti,IN,81.79,overcast clouds,10.5669,72.642,Green leaf
52,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
54,Atuona,PF,77.43,clear sky,-9.8,-139.0333,Villa Enata
55,Kitaibaraki,JP,76.14,overcast clouds,36.7833,140.75,Isohara Seaside Hotel
56,Kulhudhuffushi,MV,81.18,clear sky,6.6221,73.07,Haajy Guest House 1
72,Sao Filipe,CV,78.93,broken clouds,14.8961,-24.4956,Hotel Xaguate
75,Tigzirt,DZ,81.55,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
82,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
89,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
92,Kavieng,PG,79.47,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
93,Itoman,JP,84.22,haze,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
94,Tamandare,BR,78.39,clear sky,-8.7597,-35.1047,Pousada 100 Passos
97,Radcliff,US,83.12,broken clouds,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
100,Erzin,TR,77.18,broken clouds,36.9559,36.2,Artemis Otel
105,Luocheng,CN,76.86,overcast clouds,29.3848,104.0286,Luocheng Hotel
108,Garden City,US,85.21,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
113,Itarema,BR,81.41,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
114,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
115,Labuhan,ID,77.36,broken clouds,-6.8844,112.2051,DoubleFAG
116,Baza,ES,87.42,clear sky,37.4907,-2.7726,Pensión Ronda
117,Buluang,PH,76.75,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
118,Guerrero Negro,MX,84.52,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
123,Kurayoshi,JP,78.31,overcast clouds,35.4333,133.8167,Hotel Ark 21
127,Timizart,DZ,80.69,clear sky,36.8,4.2667,yefssah restaurant
128,Meulaboh,ID,76.53,scattered clouds,4.1363,96.1285,Kost Pria
151,Chishan,TW,80.91,broken clouds,22.6392,120.3565,Li Xin Motel
159,Shiyan,CN,79.38,broken clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
160,Fortuna,US,78.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
161,Sola,VU,75.87,moderate rain,-13.8833,167.55,Leumerus Bungalows
162,Xucheng,CN,78.24,overcast clouds,20.35,110.1288,Haixing Hotel
164,Aguimes,ES,76.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
167,Dzaoudzi,YT,75.09,few clouds,-12.7887,45.2699,Le Rocher
170,Jamestown,US,80.06,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
172,Katsuura,JP,80.55,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
173,Kerema,PG,76.32,overcast clouds,-7.9631,145.7785,Frena Lodge
175,Samarai,PG,77.86,overcast clouds,-10.6167,150.6667,Nuli Sapi
178,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
180,Buala,SB,77.92,light rain,-8.145,159.5921,Maringe Lagoon Lodge
182,Ponta Do Sol,PT,75.13,scattered clouds,32.6667,-17.1,Hotel do Campo
183,Kahului,US,82.98,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
184,Adana,TR,82.92,broken clouds,36.985,35.2881,ibis Adana
187,Guilin,CN,78.91,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
188,Balykshi,KZ,78.8,clear sky,47.0667,51.8667,Гостиница Golden Rose
193,Bethel,US,86.47,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
194,Shangrao,CN,77.05,scattered clouds,28.4532,117.9686,Boyue boutique Hotel
195,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
200,Marsala,IT,82.35,scattered clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
202,Matara,LK,75.24,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
203,Jalu,LY,88.38,clear sky,29.0331,21.5482,صاحبة الفخامة
204,Lazaro Cardenas,MX,88.86,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
206,Daru,PG,76.46,broken clouds,-9.0763,143.2092,Daru Lodge
211,Lompoc,US,88.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
215,Lons-Le-Saunier,FR,81.72,clear sky,46.75,5.75,"Gîte ""La cabane du berger"""
220,Sorong,ID,77.58,broken clouds,-0.8833,131.25,Waigo Splash Hotel
222,Kushima,JP,78.39,broken clouds,31.4583,131.2333,Hanaoka
223,Eydhafushi,MV,81.05,scattered clouds,5.1033,73.0708,Soneva Fushi
227,Panama City,PA,89.55,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
230,Dongzhen,CN,76.55,moderate rain,22.3797,110.9389,茂名中汇时尚酒店
233,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
234,Surt,LY,82.18,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
239,Tautira,PF,76.23,moderate rain,-17.7333,-149.15,Pension Oaoa
240,Korla,CN,88.9,scattered clouds,41.7597,86.1469,Gulisitan Hotel
245,Freeport,US,87.31,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
247,Butaritari,KI,81.32,light rain,3.0707,172.7902,Isles Sunset Lodge
249,Narasannapeta,IN,79.18,overcast clouds,18.4167,84.05,AVK events and catering
250,Warri,NG,76.84,overcast clouds,5.5167,5.75,GT Guesthouse
252,Bocas Del Toro,PA,80.69,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
253,Thiruvananthapuram,IN,80.58,mist,8.4833,76.9167,Hotel Residency Tower
254,Harper,LR,75.65,overcast clouds,4.375,-7.7169,Screensaver
255,Kudahuvadhoo,MV,81.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
257,Taybad,IR,77.7,clear sky,34.74,60.7756,لی پوش jean center
258,Balkanabat,TM,87.08,clear sky,39.5108,54.3671,Nebitchi Hotel
259,Gushikawa,JP,83.43,haze,26.3544,127.8686,Kirari Guest House
260,Banda Aceh,ID,78.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
263,Tiarei,PF,78.82,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
265,Touros,BR,80.02,clear sky,-5.1989,-35.4608,INN NEW HORIZON
266,Tarauaca,BR,82.71,scattered clouds,-8.1614,-70.7656,Flat Temporada
272,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
274,Negombo,LK,80.65,clear sky,7.2083,79.8358,Hotel Sunset Beach
275,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
