City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chapais,CA,49.7834,-74.8492,78.51,38,8,13.29,clear sky
1,Cidreira,BR,-30.1811,-50.2056,61.47,66,10,10.13,clear sky
2,Yellowknife,CA,62.456,-114.3525,65.93,55,100,13.67,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,80.56,82,88,10.0,overcast clouds
4,East London,ZA,-33.0153,27.9116,54.54,94,0,3.44,clear sky
5,Sept-Iles,CA,50.2001,-66.3821,67.05,75,1,5.99,clear sky
6,Ushuaia,AR,-54.8,-68.3,46.02,70,0,2.3,clear sky
7,Pevek,RU,69.7008,170.3133,37.6,95,95,5.73,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,39.36,81,100,6.69,overcast clouds
9,Nanortalik,GL,60.1432,-45.2371,45.84,77,77,4.97,broken clouds
10,Ilulissat,GL,69.2167,-51.1,42.82,87,100,6.91,light intensity drizzle
11,Hobyo,SO,5.3505,48.5268,77.13,80,97,23.06,overcast clouds
12,Bengkulu,ID,-3.8004,102.2655,75.31,89,19,4.32,few clouds
13,Along,IN,28.1667,94.7667,73.99,96,18,0.69,few clouds
14,Albany,US,42.6001,-73.9662,78.17,65,25,5.06,scattered clouds
15,Itabira,BR,-19.6192,-43.2269,82.27,34,100,9.71,overcast clouds
16,Delfzijl,NL,53.33,6.9181,76.01,71,75,11.65,broken clouds
17,Klaksvik,FO,62.2266,-6.589,54.52,83,5,24.43,clear sky
18,Hermanus,ZA,-34.4187,19.2345,55.8,88,100,9.08,overcast clouds
19,Usinsk,RU,65.9939,57.5281,51.01,61,74,8.1,broken clouds
20,Benguela,AO,-12.5763,13.4055,67.87,86,24,7.52,few clouds
21,Kapaa,US,22.0752,-159.319,80.11,80,75,14.97,broken clouds
22,Broome,US,42.2506,-75.833,79.02,62,100,9.22,overcast clouds
23,Sembe,CG,1.6481,14.5806,75.6,79,73,3.2,broken clouds
24,Salinas,US,36.6777,-121.6555,81.99,58,0,8.05,clear sky
25,Trige,DK,56.2529,10.1484,69.17,59,9,2.86,clear sky
26,Flin Flon,CA,54.7682,-101.865,68.68,38,0,5.66,clear sky
27,Rikitea,PF,-23.1203,-134.9692,73.2,76,100,22.82,overcast clouds
28,Fairbanks,US,64.8378,-147.7164,54.23,73,0,0.0,clear sky
29,Kencong,ID,-8.2833,113.3667,75.0,93,93,2.28,overcast clouds
30,Port-De-Bouc,FR,43.4,4.9833,88.75,45,0,9.22,clear sky
